[2021-06-22 21:29:15.664] [Generic] [info] ------------------ START OF LOG ----------------------

[2021-06-22 21:29:15.881] [V5Engine] [info] GLFW successfully initialized
[2021-06-22 21:29:16.407] [Generic] [info] App V5Editor start
[2021-06-22 21:29:20.146] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:20.274] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:21.161] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:21.258] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:21.408] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:21.558] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:21.941] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:22.074] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:22.191] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:22.326] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:22.491] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:22.625] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:23.191] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:23.441] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:23.741] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:24.224] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:24.258] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:24.291] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:24.324] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:24.342] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:24.374] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:24.408] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:24.441] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:24.474] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:24.491] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:24.524] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:24.558] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:24.591] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:24.624] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:24.625] [Generic] [info] App V5Editor event 4
[2021-06-22 21:29:25.850] [Generic] [info] App V5Editor event 1
[2021-06-22 21:29:25.851] [V5Engine] [info] Engine Run has ended
[2021-06-22 21:29:25.851] [Generic] [info] App V5Editor quit
[2021-06-22 21:29:25.882] [V5Engine] [info] Engine successfully shutdown
